ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,CityState,,,,
01103,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01104,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01105,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01106,44140,LONGMEADOW,MA,"LONGMEADOW, MA",,,,
01107,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01108,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01109,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01111,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01115,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01116,44140,LONGMEADOW,MA,"LONGMEADOW, MA",,,,
01118,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01119,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01128,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01129,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01138,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01139,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01144,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01151,44140,INDIAN ORCHARD,MA,"INDIAN ORCHARD, MA",,,,
01152,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01199,44140,SPRINGFIELD,MA,"SPRINGFIELD, MA",,,,
01201,38340,PITTSFIELD,MA,"PITTSFIELD, MA",,,,
01202,38340,PITTSFIELD,MA,"PITTSFIELD, MA",,,,
01220,38340,ADAMS,MA,"ADAMS, MA",,,,
01222,38340,ASHLEY FALLS,MA,"ASHLEY FALLS, MA",,,,
01223,44140,BECKET,MA,"BECKET, MA",,,,
01223,38340,BECKET,MA,"BECKET, MA",,,,
01224,38340,BERKSHIRE,MA,"BERKSHIRE, MA",,,,
01225,38340,CHESHIRE,MA,"CHESHIRE, MA",,,,
01226,38340,DALTON,MA,"DALTON, MA",,,,
01227,38340,DALTON,MA,"DALTON, MA",,,,
01229,38340,GLENDALE,MA,"GLENDALE, MA",,,,
01230,38340,GREAT BARRINGTON,MA,"GREAT BARRINGTON, MA",,,,
01235,38340,HINSDALE,MA,"HINSDALE, MA",,,,
01235,11200,HINSDALE,MA,"HINSDALE, MA",,,,
01236,38340,HOUSATONIC,MA,"HOUSATONIC, MA",,,,
01237,38340,LANESBOROUGH,MA,"LANESBOROUGH, MA",,,,
01238,38340,LEE,MA,"LEE, MA",,,,
01240,38340,LENOX,MA,"LENOX, MA",,,,
01242,38340,LENOX DALE,MA,"LENOX DALE, MA",,,,
01243,11200,MIDDLEFIELD,MA,"MIDDLEFIELD, MA",,,,
